<!--
  【本表定位】决策主表 —— 只收录有决策价值的 81 项：本项目 .conf 显式设置的、AE103 特有的、
              以及原表列出的移植评估项（含评估后未启用的）。全量 11932 个 CONFIG 符号见 config_full.csv。
  【取值快照】「AE103取值」列取自 build/zephyr/.config，对应构建参数 base + optional + test
              （build.sh 默认）。改了 .conf 必须重新构建，本列才会刷新。
  【分组】①~⑫ 按功能分组便于按主题查找，组内按配置项名排序。
  【查找】「定义位置」只给 AE103 视角优先级最高的 1~2 处，完整定义清单去 config_full.csv。
  【陷阱】LOG_MAX_LEVEL / LOG_DEFAULT_LEVEL / LOG_OVERRIDE_LEVEL / SYS_CLOCK_TICKS_PER_SEC 为
          int 类型，在 .conf 里写行内注释会导致 Kconfig 解析失败（详见 optional.conf 顶部说明）。
-->
配置项,类别,定义位置(Kconfig:行),类型,默认值,AE103取值,设置来源,作用,备注/约束
CONFIG_LOG_PROCESS_THREAD_SLEEP_MS,subsys/logging,subsys/logging/Kconfig.processing:72,int,1000,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,日志处理线程的休眠周期（毫秒）。被唤醒时处理已缓冲的消息。,当前未定义/依赖不满足。⚠️ 这是 dependency 不满足导致的「未定义」，非配置缺失；其 Kconfig warning 一直无害（见 BUILD.md 7.14 尾部判断）。
CONFIG_LOG_RUNTIME_FILTERING,subsys/logging,subsys/logging/Kconfig.filtering:6,bool,n（隐式）,n(未启用),configs/optional.conf,允许在运行时为每个日志实例独立配置最大严重级别。,当前未启用。关闭可省 ROM/RAM——EC 用编译期静态过滤已足够。
CONFIG_LOG_TIMESTAMP_64BIT,subsys/logging,subsys/logging/Kconfig.processing:158,bool,n（隐式）,n(未启用),configs/optional.conf,日志时间戳使用 64 位宽度。,当前未启用。⚠️ AE103 无 systimer，时间戳恒为 0（见 SYS_CLOCK_EXISTS 与 soc.c 兜底实现），此开关当前无实际意义。
CONFIG_SERIAL,drivers/serial,drivers/serial/Kconfig:6 | boards/arm/nrf52840_mdk_usb_dongle/Kconfig.defconfig:32（另 2 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,ae103_nto_defconfig,启用串口驱动子系统选项。,当前开启。AE103_UART 的上层框架。
CONFIG_UART_CONSOLE,drivers/console,drivers/console/Kconfig:43 | boards/arm/adafruit_itsybitsy_nrf52840/Kconfig.defconfig:22（另 9 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,ae103_nto_defconfig,使用一个 UART 作为控制台输出。,当前开启。依赖 CONSOLE 与 SERIAL。
CONFIG_ESPI_AUTOMATIC_WARNING_ACKNOWLEDGE,drivers/espi,drivers/espi/Kconfig:49,bool,y,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,eSPI slave 收到 host 的 suspend/reset warning 时自动应答。关闭则应用有机会在 host 挂起/复位前做准备。,当前未启用。EC 电源状态机相关，需与 ACPI 时序配合确定。
CONFIG_ESPI_FLASH_CHANNEL,drivers/espi,drivers/espi/Kconfig:77 | drivers/espi/Kconfig.it8xxx2:121（另 1 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,eSPI 控制器支持 Flash 通道（host 经 eSPI 访问 EC 侧 Flash）。,当前未启用。AE103 的 eSPI 控制器与驱动尚未落地，此项为方案评估预留。
CONFIG_ESPI_OOB_CHANNEL_RX_ASYNC,drivers/espi,drivers/espi/Kconfig:172,bool,n（隐式）,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,对 host 主动发起的 OOB（Out-of-Band）流量启用异步处理。否则假定 OOB 流量总由 client 发起。,当前未启用。需与 OOBMNGR_SUPPORT 一起评估。
CONFIG_ESPI_PERIPHERAL_HOST_IO_PVT,drivers/espi,drivers/espi/Kconfig:99 | drivers/espi/Kconfig.xec:31,bool,n（隐式）,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,对 eSPI 外设通道启用私有通道上的 ACPI Host I/O。,当前未启用。厂商私有通道，需与 host 侧 BIOS 约定。
CONFIG_ESPI_SAF,drivers/espi,drivers/espi/Kconfig:179 | drivers/espi/Kconfig.xec:157,bool,n（隐式）,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,启用 Slave Attached Flash（SAF）eSPI 驱动。SAF 依赖 ESPI 驱动与 flash 通道。,当前未启用。⚠️ 启用前需先落地 eSPI 驱动 + ESPI_FLASH_CHANNEL + SPI 驱动。
CONFIG_GPIO_PCA95XX,drivers/gpio,drivers/gpio/Kconfig.pca95xx:6,bool,y,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,启用 PCA95XX（I2C 转 GPIO 芯片）驱动。,当前未启用。若 AE103 板卡扩展 I2C GPIO 则需要。
CONFIG_OOBMNGR_SUPPORT,应用层 drivers/Kconfig,ecfw-zephyr/drivers/Kconfig:57,bool,n,y,ecfw-zephyr/prj.conf,启用 EC 对 OOB manager（eSPI hub 扩展）的支持，把 OOB 流量全部经 OOB manager API 隧道传输。,当前开启。EC 网络/管理通路相关。
CONFIG_SAF_SPI_CAPACITY,应用层 app/saf,ecfw-zephyr/app/saf/Kconfig:16,int,16,—(未定义/依赖不满足),ecfw-zephyr/prj.conf,SPI Flash 容量（MB）。用于配置 SAF 桥的尺寸上限；host 访问超出此容量的 Flash 地址会产生越界错误。,当前未启用。启用 ESPI_SAF 后必须按实际 Flash 型号填写。
CONFIG_SMCHOST_EVENT_DRIVEN_TASK,应用层 app/smchost,ecfw-zephyr/app/smchost/Kconfig:22,bool,n（隐式）,y,ecfw-zephyr/prj.conf,EC 发送 System Control Interrupt（SCI）采用事件驱动方式，而非周期性任务。,当前开启。事件驱动省电，但需确认 AE103 的中断路径已就绪。
CONFIG_SPI,drivers/spi,drivers/spi/Kconfig:9 | boards/arm/96b_carbon/Kconfig.defconfig:17（另 18 处其他平台定义，详见 config_full.csv）,bool,n（隐式）,y,ecfw-zephyr/prj.conf,启用 SPI 硬件总线支持。,当前开启。是 AE103_SPI_FLASH 的上层框架。
CONFIG_SPI_EXTENDED_MODES,drivers/spi,drivers/spi/Kconfig:37,bool,n（隐式）,y,ecfw-zephyr/prj.conf,启用 SPI API 的扩展操作（如选择 single/dual/quad/octal 线模式），但这些模式实际尚不支持，需要在 SPI buffer 中暴露更多特性。,当前开启。⚠️ help 原文已说明这些线模式「实际并未支持」，属 API 预留。
CONFIG_THERMAL_MANAGEMENT,应用层 app/thermal_management,ecfw-zephyr/app/thermal_management/Kconfig:10,bool,n（隐式）,y,ecfw-zephyr/prj.conf,EC 支持风扇管理、热传感器读取与 CPU 温度监控。,当前开启。EC 核心职能之一。⚠️ 依赖 AE103 的 ADC/热传感器/I2C 驱动，这些尚未落地。
CONFIG_COVERAGE_GCOV,subsys/testsuite,subsys/testsuite/Kconfig:64,bool,n（隐式）,—(未定义/依赖不满足),（Kconfig 默认，未在 .conf 中显式设置）,使用定制 gcov 库实现代码覆盖率。报告经串口输出，可交给 gen_gcov_files.py 生成 .gcda 文件，再由 gcov 工具读取。,当前依赖不满足、未启用。仅测试构建开启，量产必须关闭。
CONFIG_MPSC_PBUF,lib/os,lib/os/Kconfig:22,bool,n（隐式）,n(未启用),configs/optional.conf,启用 MPSC 包缓冲区。可在环形缓冲区中存放变长数据包，并直接在缓冲区内存上操作。,当前未启用。若日志或通信需要零拷贝变长包，可评估启用。
